165,1232,787
211,1233,777
227,1233,774
647,1268,66
575,1279,106
579,1278,110
581,1276,117
585,1277,126
587,426,831
590,1270,126
600,428,829
594,1261,83
594,1279,36
596,1263,102
597,1279,137
600,1270,131
601,1279,132
602,1251,90
602,1258,47
612,1253,89
617,433,826
612,1254,116
613,1257,122
614,1277,139
616,1257,88
625,1245,85
630,1261,118
629,1279,127
630,1258,122
630,1258,115
634,1244,135
634,437,823
634,1263,135
640,1244,65
642,1254,41
643,1277,16
643,1255,37
648,1255,34
648,1262,23
649,1279,9
651,1247,42
654,1265,22
654,1270,15
656,1255,115
659,1244,115
661,1262,120
660,1265,17
660,1269,119
660,1275,124
661,1255,104
664,1256,101
666,1256,18
666,1248,56
666,1253,113
666,1261,2
668,1251,104
672,1244,83
673,1252,104
674,1263,120
673,1271,121
673,1277,118
675,1243,48
674,1245,56
675,1258,10
676,1250,15
676,1251,58
676,1251,23
676,1253,113
676,1259,111
678,1245,31
679,1252,37
679,1248,26
686,1257,42
681,1266,101
682,1256,51
682,1257,59
683,1264,32
685,1251,23
685,1262,66
685,1262,98
685,1265,111
685,1273,107
688,1246,30
688,1252,47
688,1261,60
688,1263,56
690,1261,52
691,1245,26
691,1252,22
692,1256,50
693,1258,61
693,1271,96
694,1261,50
696,1262,76
696,1261,83
697,1262,68
696,1275,94
696,1279,84
698,1244,51
699,1247,6
699,1253,0
698,1268,84
700,1262,65
701,1260,56
702,1242,35
704,1273,81
706,1237,17
706,1246,68
706,1247,62
706,1249,53
706,1250,46
706,1260,68
706,1266,79
706,1266,91
706,1270,68
706,1272,78
706,1277,80
706,1277,92
706,1278,87
709,1243,43
711,1268,48
711,1272,58
713,1269,51
711,1278,69
713,1262,48
714,1266,29
713,1273,51
715,1263,19
715,1265,49
715,1269,34
716,1252,20
716,1255,16
718,1279,33
719,1279,39
720,1253,27
720,1273,37
722,1260,3
721,1262,19
722,1268,35
722,1262,9
723,1243,22
723,1243,36
723,1244,31
723,1268,45
723,1279,40
724,1243,5
724,1277,37
724,1279,48
730,1279,1
731,1276,3
732,1279,17
